Date,City,State,Country,Category
8-Feb-94,Madrid,Community of Madrid,Spain,in_utero_arena_tour
9-Feb-94,Barcelona,Catalonia,Spain,in_utero_arena_tour
10-Feb-94,Toulouse,Occitanie,France,in_utero_arena_tour
12-Feb-94,Toulon,Provence-Alpes-Cote d'Azur,France,in_utero_arena_tour
14-Feb-94,Paris,Ile-de-France,France,in_utero_arena_tour
16-Feb-94,Rennes,Brittany,France,in_utero_arena_tour
18-Feb-94,Grenoble,Auvergne-Rhone-Alpes,France,in_utero_arena_tour
19-Feb-94,Neuchâtel,Neuchatel,Switzerland,in_utero_arena_tour
21-Feb-94,Modena,Emilia-Romagna,Italy,in_utero_arena_tour
22-Feb-94,Marino,Lazio,Italy,in_utero_arena_tour
23-Feb-94,Rome,Lazio,Italy,in_utero_arena_tour
24-Feb-94,Milan,Lombardy,Italy,in_utero_arena_tour
25-Feb-94,Milan,Lombardy,Italy,in_utero_arena_tour
27-Feb-94,Ljubljana,,Slovenia,in_utero_arena_tour
1-Mar-94,Munich,Bavaria,Germany,in_utero_arena_tour
